What is your age?,What is your gender?,In which area do you stay in western line in Mumbai?,Your yearly income in INR,Do you own a house?,Where is your house located?,What is the carpet area of your current house in square feet?,How many rooms do you have?,What is the current price of your house in INR?,c_Car Parking,c_24hr Water Supply,c_Maintenance Staff,c_Gas Pipeline,c_Lift,c_Club house,c_24Hr Security,c_Gym,c_School,c_College,c_Hospitals,c_Medical,c_Railway Station,c_Market,Are you planning to buy a new house in Mumbai(Western Line)?,Would you take a housing loan if you had to buy a house?,In which area you would like to buy a new house in Mumbai(Western Line) if you had to?,What type of house you would look for if you had to buy a house?,What would be your budget if you had to buy a house?,How much carpet area would you want(square feet) if you had to buy a house?,How many rooms do you want if you had to buy a house?,If you had to buy a house what would you buy?,n_Car Parking,n_24hr Water Supply,n_Maintenance Staff,n_Gas Pipeline,n_Lift,n_Club house,n_24Hr Security,n_Gym,n_School,n_College,n_Hospitals,n_Medical,n_Railway Station,n_Market
36 - 45,Female,Malad,5lakh - 7lakh,Yes,Building,700,1 BHK,7800000,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,No,Dadar,Building,1Cr - 2Cr,650,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Malad,7lakh - 9lakh,Yes,Building,600,1 BHK,9300000,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,None of the above,Medical,Medical,Medical,Medical,Medical,Medical,Yes,Yes,Andheri,Building,90lakh- 1Cr,500,1 BHK,Resale House,"24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Malad,7lakh - 9lakh,Yes,Building,590,1 BHK,10500000,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,No,Malad,Building,1Cr - 2Cr,650,1 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Marine Lines,9lakh - 11lakh,Yes,Building,1318,3 BHK,70000000,"Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market",No,Yes,Mumbai Central,Building,6Cr - 7Cr,1800,4 BHK,Resale House,"Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Car Parking, Maintenance Staff, Lift, 24Hr Security","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Matunga Road,9lakh - 11lakh,Yes,Building,1130,3 BHK,53000000,"24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",No,No,Dadar,Building,3Cr - 4Cr,1240,2 BHK,Resale House,"Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","Car Parking, Lift, Club house, 24Hr Security, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
46 - 55,Female,Matunga Road,3lakh - 5lakh,Yes,Building,560,1 BHK,18000000,"24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market",Yes,No,Dadar,Bungalow,1Cr - 2Cr,980,2 BHK,Resale House,"Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Matunga Road,7lakh - 9lakh,Yes,Building,1170,3 BHK,51500000,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",No,Yes,Kandivali,Row House,2Cr - 3Cr,2000,3 BHK,Resale House,"Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Matunga Road,7lakh - 9lakh,Yes,Building,675,1 BHK,25000000,"Car Parking, Lift","Car Parking, Lift","Car Parking, Lift","Car Parking, Lift","Car Parking, Lift","Car Parking, Lift","Car Parking, Lift","Car Parking, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",No,Yes,Borivali,Bungalow,80lakh-90lakh,1500,3 BHK,Resale House,"Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","Car Parking, Gas Pipeline","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Matunga Road,5lakh - 7lakh,Yes,Building,610,1 BHK,13500000,Lift,Lift,Lift,Lift,Lift,Lift,Lift,Lift,Market,Market,Market,Market,Market,Market,Yes,Yes,Bandra,Building,1Cr - 2Cr,610,1 BHK,New House,"24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Matunga Road,5lakh - 7lakh,Yes,Building,777,2 BHK,35500000,"24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","24hr Water Supply, Gas Pipeline, Lift, Gym","Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market",No,Yes,Dadar,Building,3Cr - 4Cr,750,2 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
25 - 35,Female,Matunga Road,1lakh - 3lakh,Yes,Building,684,1 BHK,20000000,"Car Parking, 24hr Water Supply, Lift","Car Parking, 24hr Water Supply, Lift","Car Parking, 24hr Water Supply, Lift","Car Parking, 24hr Water Supply, Lift","Car Parking, 24hr Water Supply, Lift","Car Parking, 24hr Water Supply, Lift","Car Parking, 24hr Water Supply, Lift","Car Parking, 24hr Water Supply, Lift","School, Hospitals, Medical, Railway Station","School, Hospitals, Medical, Railway Station","School, Hospitals, Medical, Railway Station","School, Hospitals, Medical, Railway Station","School, Hospitals, Medical, Railway Station","School, Hospitals, Medical, Railway Station",No,Yes,Marine Lines,Building,1Cr - 2Cr,700,1 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security","Car Parking, 24hr Water Supply, Gas Pipeline, Lift, Club house, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
25 - 35,Female,Matunga Road,1lakh - 3lakh,No,,,,,,,,,,,,,,,,,,,No,No,Churchgate,Bungalow,40lakh - 50lakh,1000,4 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
25 - 35,Female,Mira Road,3lakh - 5lakh,No,,,,,,,,,,,,,,,,,,,No,No,Mira Road,Bungalow,40lakh - 50lakh,1500,3 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
56 - 65,Male,Mira Road,9lakh - 11lakh,Yes,Building,1100,2 BHK,10500000,"Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Car Parking, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market",Yes,Yes,Mumbai Central,Building,2Cr - 3Cr,800,3 BHK,Resale House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, 24Hr Security","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
36 - 45,Male,Mumbai Central,5lakh - 7lakh,Yes,Building,530,1 BHK,3200000,"Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","School, Market","School, Market","School, Market","School, Market","School, Market","School, Market",Yes,Yes,Lower Parel,Building,1Cr - 2Cr,625,1 BHK,Resale House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
46 - 55,Male,Mumbai Central,5lakh - 7lakh,Yes,Building,1115,2 BHK,5800000,"Car Parking, Maintenance Staff, Gym","Car Parking, Maintenance Staff, Gym","Car Parking, Maintenance Staff, Gym","Car Parking, Maintenance Staff, Gym","Car Parking, Maintenance Staff, Gym","Car Parking, Maintenance Staff, Gym","Car Parking, Maintenance Staff, Gym","Car Parking, Maintenance Staff, Gym","Medical, Railway Station","Medical, Railway Station","Medical, Railway Station","Medical, Railway Station","Medical, Railway Station","Medical, Railway Station",No,No,Dadar,Building,90lakh- 1Cr,810,2 BHK,New House,"Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Car Parking, 24hr Water Supply, Gas Pipeline, Lift","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market","Hospitals, Medical, Railway Station, Market"
25 - 35,Male,Mumbai Central,1lakh - 3lakh,No,,,,,,,,,,,,,,,,,,,No,No,Charni Road,Bungalow,5Cr - 6Cr,1200,3 BHK,New House,"Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","Car Parking, 24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift, Club house, 24Hr Security, Gym, None of the above","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market","School, College, Hospitals, Medical, Railway Station, Market"
25 - 35,Male,Mumbai Central,3lakh - 5lakh,Yes,Building,324,1 BHK,4700000,"24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","24hr Water Supply, Maintenance Staff, Gas Pipeline, Lift","School, College, Medical, Railway Station, Market","School, College, Medical, Railway Station, Market","School, College, Medical, Railway Station, Market","School, College, Medical, Railway Station, Market","School, College, Medical, Railway Station, Market","School, College, Medical, Railway Station, Market",No,Yes,Mumbai Central,Building,40lakh - 50lakh,5555,2 BHK,Resale House,"Maintenance Staff, Gas Pipeline, 24Hr Security","Maintenance Staff, Gas Pipeline, 24Hr Security","Maintenance Staff, Gas Pipeline, 24Hr Security","Maintenance Staff, Gas Pipeline, 24Hr Security","Maintenance Staff, Gas Pipeline, 24Hr Security","Maintenance Staff, Gas Pipeline, 24Hr Security","Maintenance Staff, Gas Pipeline, 24Hr Security","Maintenance Staff, Gas Pipeline, 24Hr Security","Hospitals, Railway Station","Hospitals, Railway Station","Hospitals, Railway Station","Hospitals, Railway Station","Hospitals, Railway Station","Hospitals, Railway Station"
36 - 45,Male,Mumbai Central,7lakh - 9lakh,Yes,Building,685,1 BHK,4300000,"Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Car Parking, Maintenance Staff, Lift, 24Hr Security, Gym","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market","Medical, Railway Station, Market",Yes,Yes,Prabhadevi,Building,2Cr - 3Cr,1000,2 BHK,Resale House,"Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Car Parking, Lift, 24Hr Security","Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market","Medical, Market"
